Station_Year,Year,Method,Station.Code,Period,Intended.Period,Date,Species.Code,Total.Number,Start.Time,X0.3min..50m,X0.3min..50m.1,X0.3min.flyovers,X3.5min..50m,X3.5min..50m.1,X3.5min.flyovers,X5.10min..50m,X5.10min..50m.1,X5.10min.flyovers,Exclude.Data,Exclude.Reason...Comments,Breeder,X,tagmeth,lat,lon,date,dur,dis,time,offset
BCDS_2012,2012,PC,BCDS,5,5,20-Jun-12,YEWA,1,4:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,6/20/2012,10,Inf,4:30,0.4515
BCDS_2012,2012,PC,BCDS,6,6,29-Jun-12,LEFL,3,4:16,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,6/29/2012,10,Inf,4:16,0.2614
BCDS_2012,2012,PC,BCDS,6,6,29-Jun-12,RWBL,3,4:16,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,6/29/2012,10,Inf,4:16,1.142
BCDS_2012,2012,PC,BCDS,6,6,29-Jun-12,WTSP,3,4:16,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,6/29/2012,10,Inf,4:16,1.1958
BCDS_2012,2012,PC,BCDS,6,6,29-Jun-12,REVI,2,4:16,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,6/29/2012,10,Inf,4:16,-0.037
BCDS_2012,2012,PC,BCDS,6,6,29-Jun-12,RNGR,2,4:16,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCDS_2012,2012,PC,BCDS,6,6,29-Jun-12,CCSP,1,4:16,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,6/29/2012,10,Inf,4:16,0.7554
BCDS_2012,2012,PC,BCDS,6,6,29-Jun-12,COLO,1,4:16,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCDS_2012,2012,PC,BCDS,6,6,29-Jun-12,MAWR,1,4:16,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,6/29/2012,10,Inf,4:16,0.8701
BCDS_2012,2012,PC,BCDS,6,6,29-Jun-12,RBGR,1,4:16,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,6/29/2012,10,Inf,4:16,1.0382
BCDS_2012,2012,PC,BCDS,6,6,29-Jun-12,TEWA,1,4:16,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,6/29/2012,10,Inf,4:16,0.1502
BCDS_2012,2012,PC,BCDS,6,6,29-Jun-12,WISN,1,4:16,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,6/29/2012,10,Inf,4:16,1.992
BCDS_2012,2012,PC,BCDS,7,7,7-Jul-12,LEFL,3,4:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/7/2012,10,Inf,4:25,0.2605
